,Unnamed: 0,full_name,rating,jersey,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,weightLog
0,0,LeBron James,97,#23,F,12/30/84,2.06,113.4,37436858,USA,2003,1,1,4.730921391293652
1,1,Kawhi Leonard,97,#2,F,06/29/91,2.01,102.1,32742000,USA,2011,1,15,4.625952725170619
2,2,Giannis Antetokounmpo,97,#34,F-G,12/06/94,2.11,109.8,25842697,Greece,2013,1,15,4.69866052907543
3,3,Kevin Durant,97,#7,F,09/29/88,2.08,104.3,37199000,USA,2007,1,2,4.647271362006727
4,4,James Harden,97,#13,G,08/26/89,1.96,99.8,38199000,USA,2009,1,3,4.603168183317418
5,5,Stephen Curry,97,#30,G,03/14/88,1.91,83.9,40231758,USA,2009,1,7,4.429625613473161
6,6,Anthony Davis,97,#3,F-C,03/11/93,2.08,100.7,27093019,USA,2012,1,1,4.612145799724517
7,7,Paul George,97,#13,F,05/02/90,2.03,95.3,33005556,USA,2010,1,10,4.557029810660157
8,8,Damian Lillard,97,#0,G,07/15/90,1.88,88.5,29802321,USA,2012,1,6,4.483002552013883
9,9,Joel Embiid,97,#21,C,03/16/94,2.13,113.4,27504630,Cameroon,2014,1,3,4.730921391293652
10,10,Kyrie Irving,97,#11,G,03/23/92,1.88,81.6,31742000,Australia,2011,1,1,4.401829261970061
11,11,Nikola Jokic,97,#15,C,02/19/95,2.13,114.8,27504630,Serbia,2014,2,41,4.743191483885466
12,12,Russell Westbrook,97,#0,G,11/12/88,1.91,86.2,38506482,USA,2008,1,4,4.456670177669648
13,13,Klay Thompson,97,#11,G,02/08/90,1.98,93.0,32742000,USA,2011,1,11,4.532599493153256
14,14,Karl-Anthony Towns,97,#32,F-C,11/15/95,2.11,112.5,27285000,USA,2015,1,1,4.722953221644475
15,15,Jimmy Butler,97,#22,G,09/14/89,2.01,99.8,32742000,USA,2011,1,30,4.603168183317418
16,16,Rudy Gobert,97,#27,C,06/26/92,2.16,108.0,25258427,France,2013,1,27,4.68213122712422
17,17,Blake Griffin,97,#23,F,03/16/89,2.06,114.3,34449964,USA,2009,1,1,4.738826570800765
18,18,Donovan Mitchell,97,#45,G,09/07/96,1.85,95.7,3635760,USA,2017,1,13,4.5612182984589085
19,19,Kemba Walker,97,#8,G,05/08/90,1.83,78.0,32742000,USA,2011,1,9,4.356708826689592
20,20,Luka Doncic,97,#77,G-F,02/28/99,2.01,103.0,7683360,Slovenia,2018,1,3,4.634728988229636
21,21,LaMarcus Aldridge,97,#12,F-C,07/19/85,2.11,111.6,26000000,USA,2006,1,2,4.71492104994721
22,22,Bradley Beal,97,#3,G,06/28/93,1.91,93.9,27093018,USA,2012,1,3,4.542230386214217
23,23,Mike Conley,97,#10,G,10/11/87,1.85,83.9,32511623,USA,2007,1,4,4.429625613473161
24,24,DeMar DeRozan,97,#10,G-F,08/07/89,1.98,99.8,27739975,USA,2009,1,9,4.603168183317418
25,25,CJ McCollum,97,#3,G,09/19/91,1.91,89.4,27556959,USA,2013,1,10,4.493120682179469
26,26,Victor Oladipo,97,#4,G,05/04/92,1.93,96.6,21000000,USA,2013,1,2,4.570578741218473
27,27,Kristaps Porzingis,97,#6,F-C,08/02/95,2.21,99.8,27285000,Latvia,2015,1,4,4.603168183317418
28,28,D'Angelo Russell,97,#0,G,02/23/96,1.93,87.5,27285000,USA,2015,1,2,4.471638793363569
29,29,Pascal Siakam,97,#43,F,04/02/94,2.06,103.0,2351838,Cameroon,2016,1,27,4.634728988229636
30,30,Ben Simmons,97,#25,F,07/20/96,2.08,108.9,8113929,Australia,2016,1,1,4.690430029938915
31,31,De'Aaron Fox,86,#5,G,12/20/97,1.91,77.6,6392760,USA,2017,1,5,4.351567427189173
32,32,Devin Booker,86,#1,G,10/30/96,1.96,93.4,27285000,USA,2015,1,13,4.536891345234797
33,33,DeMarcus Cousins,86,#0,C,08/13/90,2.08,122.5,3500000,USA,2010,1,5,4.808111029984782
34,34,Andre Drummond,86,#0,C,08/10/93,2.08,122.5,27093018,USA,2012,1,9,4.808111029984782
35,35,Draymond Green,86,#23,F,03/04/90,1.98,104.3,18539130,USA,2012,2,35,4.647271362006727
36,36,Jrue Holiday,86,#11,G,06/12/90,1.91,81.6,26131111,USA,2009,1,17,4.401829261970061
37,37,Nikola Vucevic,86,#9,C,10/24/90,2.11,108.9,28000000,Montenegro,2011,1,16,4.690430029938915
38,38,John Wall,86,#2,G,09/06/90,1.93,88.5,38199000,USA,2010,1,1,4.483002552013883
39,39,Jayson Tatum,86,#0,F,03/03/98,2.03,92.5,7830000,USA,2017,1,3,4.52720864451838
40,40,Trae Young,86,#11,G,09/19/98,1.85,81.6,6273000,USA,2018,1,5,4.401829261970061
41,41,Eric Bledsoe,86,#6,G,12/09/89,1.85,88.5,15625000,USA,2010,1,18,4.483002552013883
42,42,Clint Capela,86,#15,C,05/18/94,2.08,95.7,16896552,Switzerland,2014,1,25,4.5612182984589085
43,43,Tobias Harris,86,#12,F,07/15/92,2.03,102.5,32742000,USA,2011,1,19,4.629862798578463
44,44,Al Horford,86,#42,C-F,06/03/86,2.06,111.6,28000000,Dominican Republic,2007,1,3,4.71492104994721
45,45,Zach LaVine,86,#8,G,03/10/95,1.98,82.1,19500000,USA,2014,1,13,4.407938016458383
46,46,Kyle Lowry,86,#7,G,03/25/86,1.83,93.0,33296296,USA,2006,1,24,4.532599493153256
47,47,Khris Middleton,86,#22,F,08/12/91,2.01,98.4,30603448,USA,2012,2,39,4.589040804058207
48,48,Chris Paul,86,#3,G,05/06/85,1.85,79.4,38506482,USA,2005,1,4,4.37449836825309
49,49,John Collins,86,#20,F,09/23/97,2.06,102.1,2686560,USA,2017,1,19,4.625952725170619
50,50,Buddy Hield,86,#24,G,12/17/93,1.93,96.2,4861207,The Bahamas,2016,1,6,4.566429357671661
51,51,Kyle Kuzma,86,#0,F,07/24/95,2.03,100.2,1974600,USA,2017,1,27,4.607168188650764
52,52,Jamal Murray,86,#27,G,02/23/97,1.93,91.2,4444746,Canada,2016,1,7,4.513054897080286
53,53,Louis Williams,86,#23,G,10/27/86,1.85,79.4,8000000,USA,2005,2,45,4.37449836825309
54,54,Marvin Bagley,86,#35,F,03/14/99,2.11,106.6,8556120,USA,2018,1,2,4.669083511731744
55,55,Bojan Bogdanovic,86,#44,G-F,04/18/89,2.03,98.0,17000000,Croatia,2011,2,31,4.584967478670572
56,56,Malcolm Brogdon,86,#7,G,12/11/92,1.96,101.2,20000000,USA,2016,2,36,4.617098756853365
57,57,Danilo Gallinari,86,#8,F,08/08/88,2.08,102.1,22615559,Italy,2008,1,6,4.625952725170619
58,58,Montrezl Harrell,86,#5,F,01/26/94,2.01,114.8,6000000,USA,2015,2,32,4.743191483885466
59,59,Kevin Love,86,#0,F,09/07/88,2.03,117.9,28942830,USA,2008,1,5,4.769836807543325
60,60,Lauri Markkanen,86,#24,F-C,05/22/97,2.13,108.9,5300400,Finland,2017,1,7,4.690430029938915
61,61,Jusuf Nurkic,86,#27,C,08/23/94,2.13,131.5,12000000,Bosnia and Herzegovina,2014,1,16,4.879006851617819
62,62,Julius Randle,86,#30,F,11/29/94,2.03,113.4,18000000,USA,2014,1,7,4.730921391293652
63,63,Marc Gasol,86,#33,C,01/29/85,2.11,120.2,25595700,Spain,2007,2,48,4.789157022101107
64,64,Steven Adams,86,#12,C,07/20/93,2.11,115.7,25842697,New Zealand,2013,1,12,4.751000634199631
65,65,Deandre Ayton,86,#22,C,07/23/98,2.11,113.4,9562920,The Bahamas,2018,1,1,4.730921391293652
66,66,Spencer Dinwiddie,86,#8,G,04/06/93,1.96,93.0,10605600,USA,2014,2,38,4.532599493153256
67,67,Jaren Jackson,86,#13,F-C,09/15/99,2.11,110.0,6699960,USA,2018,1,4,4.700480365792417
68,68,Paul Millsap,86,#4,F-C,02/10/85,2.01,113.4,30350000,USA,2017,2,47,4.730921391293652
69,69,Marcus Smart,86,#36,G,03/06/94,1.91,103.0,12553571,USA,2014,1,6,4.634728988229636
70,70,Myles Turner,86,#33,F-C,03/24/96,2.11,108.4,18000000,USA,2015,1,11,4.685828089005546
71,71,Serge Ibaka,86,#9,F,09/18/89,2.13,108.9,23271604,Spain,2008,1,24,4.690430029938915
72,72,Zion Williamson,86,#1,F,07/06/00,1.98,128.8,9757440,USA,2019,1,1,4.858260813670253
73,73,Rudy Gay,86,#22,F,08/17/86,2.03,104.3,14500000,USA,2006,1,8,4.647271362006727
74,74,Aaron Gordon,86,#0,F,09/16/95,2.03,99.8,19863636,USA,2014,1,4,4.603168183317418
75,75,Brandon Ingram,86,#14,F,09/02/97,2.01,88.9,7265485,USA,2016,1,2,4.487512142519859
76,76,DeAndre Jordan,86,#6,C,07/21/88,2.11,120.2,9881598,USA,2008,2,35,4.789157022101107
77,77,Domantas Sabonis,86,#11,F-C,05/03/96,2.11,104.8,3529554,Lithuania,2016,1,11,4.6520537718869415
78,78,Jonas Valanciunas,86,#17,C,05/06/92,2.11,104.8,16000000,Lithuania,2011,1,5,4.6520537718869415
79,79,Hassan Whiteside,86,#21,C,06/13/89,2.13,106.6,27093018,USA,2010,2,33,4.669083511731744
80,80,Derrick Rose,86,#25,G,10/04/88,1.88,86.2,7317074,USA,2008,1,1,4.456670177669648
81,81,Robert Covington,86,#33,F,12/14/90,2.01,94.8,11301219,USA,2013,Undrafted,Undrafted,4.551769409260976
82,82,Derrick Favors,86,#22,F,07/15/91,2.06,111.6,17650000,USA,2010,1,3,4.71492104994721
83,83,Gordon Hayward,86,#20,F,03/23/90,2.01,93.9,32700690,USA,2010,1,9,4.542230386214217
84,84,Reggie Jackson,86,#0,G,04/16/90,1.91,94.3,17799677,USA,2011,1,24,4.546481189639412
85,85,Enes Kanter,86,#11,C,05/20/92,2.08,118.8,4767000,Turkey,2011,1,3,4.777441406928545
86,86,Otto Porter,86,#22,F,06/03/93,2.03,89.8,27250576,USA,2013,1,2,4.497584975308154
87,87,JJ Redick,86,#4,G,06/24/84,1.91,86.2,13486300,USA,2006,1,11,4.456670177669648
88,88,Josh Richardson,86,#0,G,09/15/93,1.96,90.7,10116576,USA,2015,2,40,4.507557357121091
89,89,TJ Warren,86,#1,F,09/05/93,2.03,99.8,11060000,USA,2014,1,14,4.603168183317418
90,90,Ja Morant,86,#12,G,08/10/99,1.91,78.9,8730240,USA,2019,1,2,4.368181227851829
91,91,Bam Adebayo,86,#13,F-C,07/18/97,2.06,110.2,3454080,USA,2017,1,14,4.702296896718814
92,92,Jarrett Allen,86,#31,C,04/20/98,2.11,106.1,2376840,USA,2017,1,22,4.664382045619937
93,93,Lonzo Ball,86,#2,G,10/27/97,1.98,86.2,8719320,USA,2017,1,2,4.456670177669648
94,94,Harrison Barnes,86,#40,F,05/30/92,2.03,95.3,24147727,USA,2012,1,7,4.557029810660157
95,95,Patrick Beverley,86,#21,G,07/12/88,1.85,81.6,12345680,USA,2009,2,42,4.401829261970061
96,96,Jaylen Brown,86,#7,F,10/24/96,1.98,101.2,6534829,USA,2016,1,3,4.617098756853365
97,97,Willie Cauley-Stein,86,#0,C,08/18/93,2.13,109.8,2177483,USA,2015,1,6,4.69866052907543
98,98,Goran Dragic,86,#7,G,05/06/86,1.91,86.2,19217900,Slovenia,2008,2,45,4.456670177669648
99,99,Shai Gilgeous-Alexander,86,#2,G,07/12/98,1.96,81.6,3952920,Canada,2018,1,11,4.401829261970061
100,100,Gary Harris,86,#14,G,09/14/94,1.93,93.0,17839286,USA,2014,1,19,4.532599493153256
101,101,Joe Ingles,86,#2,F,10/02/87,2.01,94.8,11454546,Australia,2009,Undrafted,Undrafted,4.551769409260976
102,102,Jeremy Lamb,86,#26,G,05/30/92,1.96,81.6,10500000,USA,2012,1,12,4.401829261970061
103,103,Brook Lopez,86,#11,C,04/01/88,2.13,120.2,12093024,USA,2008,1,10,4.789157022101107
104,104,JaVale McGee,86,#7,C,01/19/88,2.13,122.5,4000000,USA,2008,1,18,4.808111029984782
105,105,Mitchell Robinson,86,#23,C,04/01/98,2.13,101.2,1559712,USA,2018,2,36,4.617098756853365
106,106,Terrence Ross,86,#8,G,02/05/91,1.98,93.4,12500000,USA,2012,1,8,4.536891345234797
107,107,Tristan Thompson,86,#13,F,03/13/91,2.06,102.1,18539130,Canada,2011,1,4,4.625952725170619
108,108,PJ Tucker,86,#17,F,05/05/85,1.96,102.1,8349039,USA,2006,2,35,4.625952725170619
